customerID,country,region,lang,cpc_index,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_band,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,Contract_enc,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,charge_tier,churn_risk_score,Churn
0058-EVZWM,Colombia,LATAM,es,0.38,Female,0,1,0,55,Loyal (37-60m),1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,0,1,Bank transfer (automatic),89.8,4959.6,High,0.5161,0
0060-FUALY,Chile,LATAM,es,0.38,Female,0,1,0,59,Loyal (37-60m),1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,0,1,Electronic check,94.75,5597.65,Premium,0.4442,0
0064-SUDOG,Ghana,Africa,en,0.22,Female,0,1,1,12,New (0-12m),1,0,No,0,0,0,0,0,0,Two year,2,0,Bank transfer (automatic),20.3,224.5,Low,0.4306,0
0064-YIJGF,Switzerland,EU,fr,0.92,Male,0,1,1,27,Growing (13-36m),1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,1,Bank transfer (automatic),75.75,1929.0,High,0.7184,0
0067-DKWBL,Lebanon,MENA,ar,0.55,Male,1,0,0,2,New (0-12m),1,0,DSL,1,0,0,0,0,0,Month-to-month,0,1,Electronic check,49.25,91.1,Mid,0.9032,1
0068-FIGTF,Morocco,MENA,ar,0.55,Female,0,0,0,27,Growing (13-36m),1,0,DSL,0,1,1,1,1,1,One year,1,0,Mailed check,78.2,2078.95,High,0.5608,0
0071-NDAFP,Saudi Arabia,MENA,ar,0.55,Male,0,1,1,25,Growing (13-36m),1,1,No,0,0,0,0,0,0,Two year,2,0,Credit card (automatic),25.5,630.6,Low,0.23,0
0074-HDKDG,Israel,MENA,ar,0.55,Male,0,1,1,25,Growing (13-36m),1,0,DSL,1,1,1,0,0,0,One year,1,1,Bank transfer (automatic),61.6,1611.0,Mid,0.4678,0
0076-LVEPS,Dominican Republic,LATAM,es,0.38,Male,0,0,1,29,Growing (13-36m),0,0,DSL,1,1,1,1,0,0,Month-to-month,0,1,Mailed check,45.0,1242.45,Mid,0.6218,0
0078-XZMHT,Egypt,MENA,ar,0.55,Male,0,1,0,72,Champion (60+m),1,1,DSL,0,1,1,1,1,1,Two year,2,1,Bank transfer (automatic),85.15,6316.2,High,0.1699,0
0080-EMYVY,Ukraine,CIS,ru,0.3,Female,0,0,0,14,Growing (13-36m),1,0,DSL,0,1,0,0,0,0,One year,1,0,Credit card (automatic),51.45,727.85,Mid,0.5061,0
0080-OROZO,Philippines,APAC,ja,0.61,Female,0,0,0,35,Growing (13-36m),1,0,Fiber optic,0,0,1,1,1,1,One year,1,1,Electronic check,99.25,3532.0,Premium,0.4664,0
0082-LDZUE,Philippines,APAC,ja,0.61,Male,0,0,0,1,New (0-12m),1,0,DSL,0,0,0,0,0,0,Month-to-month,0,1,Mailed check,44.3,44.3,Mid,0.7889,0
0082-OQIQY,New Zealand,NA,en,1.0,Male,0,0,0,29,Growing (13-36m),1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,0,1,Electronic check,94.2,2607.6,Premium,0.6742,0
0083-PIVIK,Nigeria,Africa,en,0.22,Male,0,0,0,64,Champion (60+m),1,1,DSL,1,1,1,1,1,0,One year,1,0,Electronic check,81.25,5567.55,High,0.3566,0
0089-IIQKO,Germany,EU,fr,0.92,Female,0,1,1,39,Loyal (37-60m),1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,0,1,Credit card (automatic),99.95,3767.4,Premium,0.6021,0
0093-EXYQL,Philippines,APAC,ja,0.61,Female,1,0,0,40,Loyal (37-60m),1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,1,Electronic check,91.55,3673.6,Premium,0.7557,0
0093-XWZFY,Colombia,LATAM,es,0.38,Male,0,0,0,40,Loyal (37-60m),1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,1,Credit card (automatic),104.5,4036.85,Premium,0.6051,1
0094-OIFMO,Canada,NA,en,1.0,Female,1,0,0,11,New (0-12m),1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,0,1,Electronic check,95.0,1120.3,Premium,0.8617,1
0096-BXERS,Kuwait,MENA,ar,0.55,Female,0,1,0,6,New (0-12m),1,1,DSL,0,0,0,0,0,0,Month-to-month,0,0,Electronic check,50.35,314.55,Mid,0.7466,0
0096-FCPUF,Brazil,LATAM,es,0.38,Male,0,0,0,30,Growing (13-36m),1,1,DSL,1,0,0,0,0,1,Month-to-month,0,1,Mailed check,64.5,1888.45,Mid,0.6756,0
0098-BOWSO,India,APAC,ja,0.61,Male,0,0,0,27,Growing (13-36m),1,0,No,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,19.4,529.8,Low,0.5139,0
0100-DUVFC,Thailand,APAC,ja,0.61,Male,1,1,0,70,Champion (60+m),1,1,Fiber optic,0,1,1,0,1,1,One year,1,1,Electronic check,104.8,7308.95,Premium,0.4801,0
0103-CSITQ,Venezuela,LATAM,es,0.38,Female,0,1,0,57,Loyal (37-60m),1,1,Fiber optic,0,1,1,1,1,1,One year,1,1,Bank transfer (automatic),109.4,6252.7,Premium,0.3975,0
0104-PPXDV,Japan,APAC,ja,0.61,Male,0,1,0,58,Loyal (37-60m),1,0,DSL,0,0,1,0,0,0,One year,1,0,Credit card (automatic),50.3,2878.55,Mid,0.2896,0
0106-GHRQR,Egypt,MENA,ar,0.55,Male,0,0,0,16,Growing (13-36m),1,1,DSL,0,1,1,0,0,1,Month-to-month,0,1,Bank transfer (automatic),71.4,1212.1,High,0.697,0
0106-UGRDO,China,APAC,ja,0.61,Female,0,1,0,69,Champion (60+m),1,1,Fiber optic,1,1,1,1,1,1,Two year,2,1,Electronic check,116.0,8182.85,Premium,0.2814,0
0107-WESLM,Kazakhstan,CIS,ru,0.3,Male,0,0,0,1,New (0-12m),1,0,No,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,19.85,19.85,Low,0.6183,1
0107-YHINA,Brazil,LATAM,es,0.38,Male,0,0,1,1,New (0-12m),1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,0,1,Electronic check,99.75,99.75,Premium,0.8013,1
0111-KLBQG,Argentina,LATAM,es,0.38,Male,1,1,1,32,Growing (13-36m),1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,0,1,Mailed check,93.95,2861.45,Premium,0.7025,0
0112-QAWRZ,Vietnam,APAC,ja,0.61,Male,0,1,1,16,Growing (13-36m),1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,0,1,Bank transfer (automatic),90.8,1442.2,Premium,0.8975,0
0112-QWPNC,Ukraine,CIS,ru,0.3,Male,0,1,0,49,Loyal (37-60m),1,1,DSL,1,0,1,1,1,1,One year,1,0,Electronic check,84.35,4059.35,High,0.3832,1
0114-IGABW,Uzbekistan,CIS,ru,0.3,Female,0,1,0,71,Champion (60+m),0,0,DSL,0,1,1,1,1,1,Two year,2,0,Bank transfer (automatic),58.25,4145.9,Mid,0.086,0
0114-PEGZZ,Philippines,APAC,ja,0.61,Female,0,0,0,33,Growing (13-36m),1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,0,Electronic check,107.55,3645.5,Premium,0.785,0
0114-RSRRW,Ethiopia,Africa,en,0.22,Female,0,1,0,10,New (0-12m),1,0,No,0,0,0,0,0,0,Month-to-month,0,1,Bank transfer (automatic),19.95,187.75,Low,0.6447,0
0115-TFERT,Ethiopia,Africa,en,0.22,Male,0,1,0,21,Growing (13-36m),1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,0,1,Electronic check,111.2,2317.1,Premium,0.7227,1
0117-LFRMW,Egypt,MENA,ar,0.55,Male,0,1,1,37,Loyal (37-60m),0,0,DSL,1,1,1,0,0,0,Month-to-month,0,0,Bank transfer (automatic),40.2,1448.8,Mid,0.4871,1
0118-JPNOY,Canada,NA,en,1.0,Female,1,0,0,26,Growing (13-36m),1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,0,1,Credit card (automatic),85.8,2193.65,High,0.7464,0
0120-YZLQA,United Kingdom,EU,fr,0.92,Male,0,0,0,71,Champion (60+m),1,0,No,0,0,0,0,0,0,Two year,2,1,Credit card (automatic),19.9,1355.1,Low,0.0699,0
0121-SNYRK,Ethiopia,Africa,en,0.22,Male,0,0,0,50,Loyal (37-60m),0,0,DSL,1,0,0,1,0,0,One year,1,1,Mailed check,35.4,1748.9,Mid,0.3178,0
0122-OAHPZ,Switzerland,EU,fr,0.92,Female,0,0,0,7,New (0-12m),1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,73.85,511.25,High,0.7822,1
0123-CRBRT,Israel,MENA,ar,0.55,Female,0,1,1,61,Champion (60+m),1,1,DSL,1,1,1,1,1,1,Two year,2,0,Mailed check,88.1,5526.75,High,0.3065,0
0125-LZQXK,Canada,NA,en,1.0,Male,0,0,0,15,Growing (13-36m),1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,0,1,Electronic check,101.35,1553.95,Premium,0.7065,1
0128-MKWSG,Belarus,CIS,ru,0.3,Female,0,0,1,26,Growing (13-36m),0,0,DSL,1,0,0,1,0,1,Month-to-month,0,0,Mailed check,45.8,1147.0,Mid,0.618,0
0129-KPTWJ,Philippines,APAC,ja,0.61,Male,0,1,0,72,Champion (60+m),1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,0,1,Electronic check,94.65,6747.35,Premium,0.4468,0
0129-QMPDR,New Zealand,NA,en,1.0,Male,0,1,1,44,Loyal (37-60m),1,0,No,0,0,0,0,0,0,One year,1,1,Bank transfer (automatic),20.5,865.05,Low,0.3125,0
0130-SXOUN,United Kingdom,EU,fr,0.92,Male,0,0,0,66,Champion (60+m),1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,0,Credit card (automatic),89.4,5976.9,High,0.4351,0
0133-BMFZO,Turkey,MENA,ar,0.55,Female,0,0,0,2,New (0-12m),1,0,Fiber optic,1,1,0,1,0,0,Month-to-month,0,1,Electronic check,86.25,181.65,High,0.8887,1
0134-XWXCE,Brazil,LATAM,es,0.38,Female,1,0,0,44,Loyal (37-60m),1,0,DSL,0,0,1,1,1,1,One year,1,0,Bank transfer (automatic),74.85,3268.05,High,0.4664,0
0135-NMXAP,Sweden,EU,fr,0.92,Female,0,0,0,12,New (0-12m),1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,1,Bank transfer (automatic),89.75,1052.4,High,0.7263,1
0136-IFMYD,Vietnam,APAC,ja,0.61,Male,1,1,0,69,Champion (60+m),1,1,Fiber optic,0,1,1,1,1,1,Two year,2,1,Electronic check,109.95,7634.25,Premium,0.3496,0
0137-OCGAB,Chile,LATAM,es,0.38,Female,0,0,0,1,New (0-12m),1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,0,1,Mailed check,80.2,80.2,High,0.762,1
0137-UDEUO,Singapore,APAC,ja,0.61,Female,0,0,0,3,New (0-12m),1,0,No,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,19.85,63.75,Low,0.6464,1
0139-IVFJG,Australia,NA,en,1.0,Female,0,1,0,2,New (0-12m),1,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,0,Electronic check,90.35,190.5,Premium,0.9124,0
0141-YEAYS,Italy,EU,fr,0.92,Female,1,0,0,27,Growing (13-36m),1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,0,1,Bank transfer (automatic),86.45,2401.05,High,0.8238,0
0142-GVYSN,South Korea,APAC,ja,0.61,Male,0,0,0,26,Growing (13-36m),1,0,No,0,0,0,0,0,0,Month-to-month,0,1,Electronic check,20.3,511.25,Low,0.4703,0
0147-ESWWR,Philippines,APAC,ja,0.61,Female,1,1,0,39,Loyal (37-60m),1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,0,1,Electronic check,101.25,3949.15,Premium,0.7477,0
0148-DCDOS,Colombia,LATAM,es,0.38,Male,0,0,0,25,Growing (13-36m),1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,1,Bank transfer (automatic),94.7,2362.1,Premium,0.7352,1
0151-ONTOV,Egypt,MENA,ar,0.55,Female,0,0,0,1,New (0-12m),1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,70.9,70.9,High,0.7464,1
0154-QYHJU,Spain,EU,fr,0.92,Male,0,0,0,29,Growing (13-36m),1,0,DSL,1,1,0,1,0,0,One year,1,1,Electronic check,58.75,1696.2,Mid,0.5104,0
0156-FVPTA,Japan,APAC,ja,0.61,Male,0,1,0,22,Growing (13-36m),1,0,DSL,1,0,0,1,0,0,Month-to-month,0,1,Electronic check,54.2,1152.7,Mid,0.687,1
0162-RZGMZ,Russia,CIS,ru,0.3,Female,1,0,0,5,New (0-12m),1,0,DSL,1,1,0,1,0,0,Month-to-month,0,0,Credit card (automatic),59.9,287.85,Mid,0.8877,0
0164-APGRB,South Korea,APAC,ja,0.61,Female,0,0,0,72,Champion (60+m),1,1,Fiber optic,1,1,1,1,1,1,Two year,2,1,Electronic check,114.9,8496.7,Premium,0.1778,0
0164-XAIRP,Ghana,Africa,en,0.22,Female,0,0,0,24,Growing (13-36m),1,0,No,0,0,0,0,0,0,Two year,2,1,Bank transfer (automatic),19.55,470.2,Low,0.3756,0
0168-XZKBB,Canada,NA,en,1.0,Female,0,1,0,19,Growing (13-36m),1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,0,1,Electronic check,86.85,1564.4,High,0.8523,0
0174-QRVVY,United States,NA,en,1.0,Male,0,1,1,71,Champion (60+m),1,1,No,0,0,0,0,0,0,Two year,2,0,Credit card (automatic),25.35,1847.55,Low,0.0714,0
0177-PXBAT,Chile,LATAM,es,0.38,Male,1,1,0,33,Growing (13-36m),1,1,Fiber optic,1,0,1,1,1,1,Month-to-month,0,1,Bank transfer (automatic),109.9,3694.7,Premium,0.8347,0
0178-CIIKR,Qatar,MENA,ar,0.55,Female,0,0,0,3,New (0-12m),1,0,No,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,19.95,58.0,Low,0.7399,0
0178-SZBHO,Australia,NA,en,1.0,Male,0,1,1,47,Loyal (37-60m),1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,0,Electronic check,87.2,4017.45,High,0.5272,0
0181-RITDD,Netherlands,EU,fr,0.92,Male,0,1,1,62,Champion (60+m),1,0,Fiber optic,1,1,1,1,1,1,Two year,2,0,Mailed check,108.15,6825.65,Premium,0.2934,0
0186-CAERR,Poland,EU,fr,0.92,Male,0,0,0,71,Champion (60+m),1,1,Fiber optic,1,1,1,1,1,1,One year,1,1,Bank transfer (automatic),116.3,8309.55,Premium,0.3902,0
0187-QSXOE,Kazakhstan,CIS,ru,0.3,Male,1,1,0,7,New (0-12m),1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,1,Electronic check,89.0,605.45,High,0.9078,0
0187-WZNAB,Saudi Arabia,MENA,ar,0.55,Female,0,1,1,27,Growing (13-36m),1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,0,Mailed check,74.4,1972.35,High,0.6974,0
0188-GWFLE,Ghana,Africa,en,0.22,Male,0,0,0,2,New (0-12m),1,0,No,0,0,0,0,0,0,Month-to-month,0,0,Mailed check,20.05,33.7,Low,0.6953,0
0191-EQUUH,Singapore,APAC,ja,0.61,Female,0,0,1,25,Growing (13-36m),0,0,DSL,1,0,0,1,0,0,Two year,2,0,Bank transfer (automatic),35.05,844.45,Mid,0.2984,0
0191-ZHSKZ,Spain,EU,fr,0.92,Male,1,0,0,30,Growing (13-36m),1,0,DSL,1,1,0,0,1,1,Month-to-month,0,1,Electronic check,74.75,2111.3,High,0.7478,0
0193-ESZXP,Uzbekistan,CIS,ru,0.3,Female,1,1,0,58,Loyal (37-60m),1,0,Fiber optic,1,1,0,1,1,1,One year,1,1,Credit card (automatic),105.5,6205.5,Premium,0.4617,1
0195-IESCP,Saudi Arabia,MENA,ar,0.55,Male,0,1,0,10,New (0-12m),1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,0,1,Electronic check,85.25,855.3,High,0.7125,1
0196-JTUQI,Vietnam,APAC,ja,0.61,Female,0,0,0,9,New (0-12m),1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,1,Credit card (automatic),75.2,633.85,High,0.7895,0
0196-VULGZ,New Zealand,NA,en,1.0,Female,1,1,0,6,New (0-12m),1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,0,1,Electronic check,84.35,474.9,High,0.8548,1
0197-PNKNK,Netherlands,EU,fr,0.92,Female,0,1,1,69,Champion (60+m),1,1,Fiber optic,1,0,1,0,0,0,One year,1,0,Bank transfer (automatic),84.45,5848.6,High,0.2611,0
0201-MIBOL,Argentina,LATAM,es,0.38,Female,1,0,0,66,Champion (60+m),1,1,Fiber optic,1,0,0,0,1,1,Two year,2,1,Bank transfer (automatic),102.4,6471.85,Premium,0.3679,0
0201-OAMXR,Vietnam,APAC,ja,0.61,Female,0,0,0,70,Champion (60+m),1,1,Fiber optic,1,1,1,1,1,1,One year,1,0,Credit card (automatic),115.55,8127.6,Premium,0.4239,1
0203-HHYIJ,Ghana,Africa,en,0.22,Male,0,0,0,25,Growing (13-36m),1,1,No,0,0,0,0,0,0,One year,1,0,Bank transfer (automatic),25.3,676.35,Low,0.4266,1
0206-OYVOC,Sweden,EU,fr,0.92,Female,0,1,1,46,Loyal (37-60m),1,0,No,0,0,0,0,0,0,Two year,2,1,Mailed check,19.25,864.2,Low,0.1469,0
0206-TBWLC,South Africa,Africa,en,0.22,Female,0,1,0,54,Loyal (37-60m),1,1,Fiber optic,1,1,1,1,1,1,One year,1,1,Mailed check,114.65,6049.5,Premium,0.4796,0
0207-MDKNV,Ukraine,CIS,ru,0.3,Female,0,0,0,15,Growing (13-36m),1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,0,Electronic check,105.1,1582.75,Premium,0.7886,1
0208-BPQEJ,Uzbekistan,CIS,ru,0.3,Female,0,1,1,12,New (0-12m),1,0,No,0,0,0,0,0,0,Month-to-month,0,0,Bank transfer (automatic),19.4,198.1,Low,0.6167,0
0212-ISBBF,Portugal,EU,fr,0.92,Female,0,0,0,22,Growing (13-36m),0,0,DSL,0,1,0,0,1,1,Month-to-month,0,1,Electronic check,50.35,1098.85,Mid,0.6763,0
0214-JHPFW,Thailand,APAC,ja,0.61,Female,0,1,0,70,Champion (60+m),0,0,DSL,0,1,1,1,1,1,Two year,2,0,Bank transfer (automatic),57.8,4039.3,Mid,0.1997,0
0215-BQKGS,Vietnam,APAC,ja,0.61,Male,0,0,0,30,Growing (13-36m),1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,0,1,Credit card (automatic),84.3,2438.6,High,0.7176,0
0218-QNVAS,Mexico,LATAM,es,0.38,Male,0,1,1,71,Champion (60+m),1,1,Fiber optic,0,1,0,0,1,1,One year,1,0,Bank transfer (automatic),100.55,7113.75,Premium,0.3398,0
0219-QAERP,New Zealand,NA,en,1.0,Male,0,1,0,30,Growing (13-36m),1,0,No,0,0,0,0,0,0,One year,1,0,Credit card (automatic),19.8,576.65,Low,0.321,0
0219-YTZUE,Saudi Arabia,MENA,ar,0.55,Male,0,1,1,4,New (0-12m),1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,0,1,Bank transfer (automatic),84.8,371.9,High,0.8039,1
0220-EBGCE,South Africa,Africa,en,0.22,Male,0,0,0,2,New (0-12m),1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,0,1,Electronic check,85.85,167.3,High,0.8273,1
0221-NAUXK,Belarus,CIS,ru,0.3,Male,0,0,1,10,New (0-12m),1,0,No,0,0,0,0,0,0,One year,1,1,Bank transfer (automatic),19.95,219.5,Low,0.5274,0
0221-WMXNQ,Israel,MENA,ar,0.55,Male,1,0,0,4,New (0-12m),1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,0,Electronic check,75.35,273.4,High,0.9101,0
